                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.25102,                0.66682,                0.96188,                  1.872,               0.005776,               0.005776,               0.005776
                     67,                0.21487,                0.67012,                0.96282,                  1.865,                0.00571,                0.00571,                0.00571
                     68,                0.19639,                  0.672,                0.96235,                 1.8683,               0.005644,               0.005644,               0.005644
                     69,                0.18731,                0.67341,                0.96047,                 1.8677,               0.005578,               0.005578,               0.005578
                     70,                0.17412,                0.66871,                0.96329,                 1.8687,               0.005512,               0.005512,               0.005512
                     71,                0.16521,                0.66776,                0.96094,                 1.8669,               0.005446,               0.005446,               0.005446
                     72,                0.15883,                0.66635,                0.96188,                 1.8677,                0.00538,                0.00538,                0.00538
                     73,                0.17288,                0.66353,                0.96188,                 1.8674,               0.005314,               0.005314,               0.005314
                     74,                0.17371,                0.66165,                0.96329,                  1.871,               0.005248,               0.005248,               0.005248
                     75,                0.15731,                0.65788,                0.96047,                 1.8716,               0.005182,               0.005182,               0.005182
                     76,                0.16784,                0.65553,                0.95906,                 1.8728,               0.005116,               0.005116,               0.005116
                     77,                0.17417,                0.65365,                0.95718,                 1.8752,                0.00505,                0.00505,                0.00505
                     78,                0.16058,                0.65318,                0.95906,                 1.8735,               0.004984,               0.004984,               0.004984
                     79,                0.15386,                0.65129,                0.95718,                 1.8758,               0.004918,               0.004918,               0.004918
                     80,                0.16762,                0.64706,                0.95718,                 1.8751,               0.004852,               0.004852,               0.004852
                     81,                0.15337,                0.64235,                0.95859,                 1.8774,               0.004786,               0.004786,               0.004786
                     82,                 0.1376,                0.64094,                0.95671,                 1.8778,                0.00472,                0.00472,                0.00472
                     83,                0.13181,                0.64094,                0.95671,                 1.8799,               0.004654,               0.004654,               0.004654
                     84,                0.14369,                0.63953,                0.95671,                 1.8801,               0.004588,               0.004588,               0.004588
                     85,                0.13278,                   0.64,                0.95718,                 1.8791,               0.004522,               0.004522,               0.004522
                     86,                 0.1251,                0.63953,                0.95765,                 1.8814,               0.004456,               0.004456,               0.004456
                     87,                0.13029,                0.63576,                0.95718,                 1.8831,                0.00439,                0.00439,                0.00439
                     88,                0.12367,                0.63624,                0.95718,                 1.8825,               0.004324,               0.004324,               0.004324
                     89,                0.11824,                0.63388,                0.95624,                 1.8839,               0.004258,               0.004258,               0.004258
                     90,                0.11602,                0.63435,                0.95576,                 1.8839,               0.004192,               0.004192,               0.004192
                     91,                0.11193,                0.63341,                0.95624,                 1.8842,               0.004126,               0.004126,               0.004126
                     92,                0.11374,                0.63153,                0.95718,                  1.886,                0.00406,                0.00406,                0.00406
                     93,                0.11933,                  0.632,                0.95859,                 1.8877,               0.003994,               0.003994,               0.003994
                     94,                0.11097,                  0.632,                0.95859,                 1.8876,               0.003928,               0.003928,               0.003928
                     95,                0.10912,                0.63247,                0.95953,                 1.8879,               0.003862,               0.003862,               0.003862
                     96,                0.10633,                0.63388,                0.95953,                 1.8893,               0.003796,               0.003796,               0.003796
                     97,                 0.1054,                0.63106,                0.95906,                 1.8895,                0.00373,                0.00373,                0.00373
                     98,                 0.1067,                0.63106,                0.95859,                  1.889,               0.003664,               0.003664,               0.003664
                     99,                0.10638,                0.63247,                0.95859,                 1.8902,               0.003598,               0.003598,               0.003598
                    100,                0.10569,                  0.632,                0.95812,                 1.8922,               0.003532,               0.003532,               0.003532
                    101,                 0.1095,                0.63247,                0.95812,                 1.8922,               0.003466,               0.003466,               0.003466
                    102,                0.10506,                0.63341,                0.95812,                 1.8932,                 0.0034,                 0.0034,                 0.0034
