                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0974,                  0.416,                0.85224,                 2.2071,              0.0033134,              0.0033134,              0.0033134
                      2,                 1.6699,                0.42918,                0.86118,                 2.1862,              0.0066046,              0.0066046,              0.0066046
                      3,                 1.6194,                0.33741,                0.79388,                 2.2331,              0.0098536,              0.0098536,              0.0098536
                      4,                 1.6106,                0.33035,                0.81176,                 2.2352,                0.00981,                0.00981,                0.00981
                      5,                 1.5341,                0.44518,                0.85318,                 2.1751,                0.00981,                0.00981,                0.00981
                      6,                 1.4795,                0.47153,                0.89459,                 2.1402,              0.0097467,              0.0097467,              0.0097467
                      7,                 1.4476,                0.48612,                0.91059,                 2.1564,              0.0096833,              0.0096833,              0.0096833
                      8,                 1.4153,                0.50118,                0.91388,                 2.1249,                0.00962,                0.00962,                0.00962
                      9,                  1.397,                0.51812,                0.91012,                 2.1343,              0.0095567,              0.0095567,              0.0095567
                     10,                 1.3698,                0.44753,                0.84282,                 2.1615,              0.0094933,              0.0094933,              0.0094933
                     11,                 1.3472,                0.42729,                0.84894,                 2.1555,                0.00943,                0.00943,                0.00943
                     12,                 1.3443,                0.50635,                0.91812,                 2.1148,              0.0093667,              0.0093667,              0.0093667
                     13,                  1.328,                0.50212,                0.88659,                 2.1299,              0.0093033,              0.0093033,              0.0093033
                     14,                 1.3111,                0.51294,                0.91765,                 2.1196,                0.00924,                0.00924,                0.00924
                     15,                 1.2987,                0.53412,                0.92847,                 2.1155,              0.0091767,              0.0091767,              0.0091767
                     16,                 1.2851,                0.51294,                0.91953,                 2.1001,              0.0091133,              0.0091133,              0.0091133
                     17,                 1.2733,                0.54353,                0.92988,                 2.0848,                0.00905,                0.00905,                0.00905
                     18,                 1.2653,                0.54259,                0.93035,                 2.0769,              0.0089867,              0.0089867,              0.0089867
                     19,                 1.2435,                0.55059,                0.93835,                 2.0665,              0.0089233,              0.0089233,              0.0089233
                     20,                 1.2301,                0.56941,                0.94776,                 2.0573,                0.00886,                0.00886,                0.00886
                     21,                 1.2286,                0.54259,                0.94729,                 2.0948,              0.0087967,              0.0087967,              0.0087967
                     22,                 1.2187,                0.56706,                0.94306,                 2.0618,              0.0087333,              0.0087333,              0.0087333
                     23,                 1.2047,                0.50635,                0.92941,                 2.1072,                0.00867,                0.00867,                0.00867
                     24,                 1.1879,                0.56706,                0.95153,                 2.0557,              0.0086067,              0.0086067,              0.0086067
                     25,                 1.1767,                0.57129,                0.95059,                   2.05,              0.0085433,              0.0085433,              0.0085433
                     26,                 1.1711,                0.57882,                0.95012,                  2.038,                0.00848,                0.00848,                0.00848
                     27,                 1.1669,                0.58353,                0.95624,                 2.0532,              0.0084167,              0.0084167,              0.0084167
                     28,                 1.1424,                0.60659,                0.96188,                 2.0306,              0.0083533,              0.0083533,              0.0083533
                     29,                 1.1304,                0.58729,                0.95624,                 2.0455,                0.00829,                0.00829,                0.00829
                     30,                 1.1204,                0.60235,                0.95953,                 2.0128,              0.0082267,              0.0082267,              0.0082267
                     31,                 1.1111,                0.60659,                0.95624,                 2.0207,              0.0081633,              0.0081633,              0.0081633
                     32,                 1.1037,                0.60847,                0.96094,                 2.0107,                 0.0081,                 0.0081,                 0.0081
                     33,                 1.0815,                0.60141,                0.96188,                 2.0253,              0.0080367,              0.0080367,              0.0080367
                     34,                 1.0613,                0.60753,                0.96094,                 2.0268,              0.0079733,              0.0079733,              0.0079733
                     35,                 1.0561,                0.58541,                0.96565,                 2.0213,                0.00791,                0.00791,                0.00791
                     36,                 1.0311,                0.61882,                0.96471,                 1.9979,              0.0078467,              0.0078467,              0.0078467
                     37,                 1.0124,                0.62212,                0.97412,                 1.9926,              0.0077833,              0.0077833,              0.0077833
                     38,                0.99534,                0.63812,                0.97176,                 1.9833,                0.00772,                0.00772,                0.00772
                     39,                0.97514,                0.62259,                0.97082,                 1.9972,              0.0076567,              0.0076567,              0.0076567
                     40,                0.94779,                0.63671,                0.97035,                 1.9959,              0.0075933,              0.0075933,              0.0075933
                     41,                0.92882,                0.63529,                0.97224,                 1.9791,                0.00753,                0.00753,                0.00753
                     42,                 0.9121,                  0.656,                0.97176,                 1.9655,              0.0074667,              0.0074667,              0.0074667
                     43,                0.87376,                0.63953,                0.97176,                 1.9617,              0.0074033,              0.0074033,              0.0074033
                     44,                0.84742,                0.64235,                0.97553,                 1.9558,                0.00734,                0.00734,                0.00734
                     45,                0.81099,                0.64659,                0.97741,                 1.9565,              0.0072767,              0.0072767,              0.0072767
                     46,                 0.7853,                0.65694,                0.97694,                 1.9427,              0.0072133,              0.0072133,              0.0072133
                     47,                0.73811,                  0.664,                0.97835,                 1.9283,                0.00715,                0.00715,                0.00715
                     48,                0.70401,                0.66541,                0.97976,                 1.9229,              0.0070867,              0.0070867,              0.0070867
                     49,                 0.6882,                  0.664,                0.97271,                 1.9192,              0.0070233,              0.0070233,              0.0070233
                     50,                0.63449,                0.66635,                0.96988,                 1.9137,                0.00696,                0.00696,                0.00696
                     51,                0.57509,                0.66918,                0.97271,                 1.9019,              0.0068967,              0.0068967,              0.0068967
                     52,                0.55757,                0.68141,                0.97506,                 1.8926,              0.0068333,              0.0068333,              0.0068333
                     53,                0.54438,                0.67576,                0.97082,                 1.8972,                0.00677,                0.00677,                0.00677
                     54,                0.50628,                0.68141,                0.96941,                 1.8897,              0.0067067,              0.0067067,              0.0067067
                     55,                0.48121,                0.67718,                0.97224,                 1.8836,              0.0066433,              0.0066433,              0.0066433
                     56,                0.45448,                0.68141,                0.96988,                 1.8818,                0.00658,                0.00658,                0.00658
                     57,                0.40826,                0.68424,                0.96941,                 1.8765,              0.0065167,              0.0065167,              0.0065167
                     58,                0.37652,                0.67576,                0.96659,                 1.8776,              0.0064533,              0.0064533,              0.0064533
                     59,                0.34387,                0.67388,                0.96424,                  1.873,                0.00639,                0.00639,                0.00639
