                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.33517,                0.67624,                0.96471,                 1.8744,              0.0063267,              0.0063267,              0.0063267
                     61,                0.34388,                0.67812,                0.96235,                 1.8721,              0.0062633,              0.0062633,              0.0062633
                     62,                0.33217,                0.66776,                0.96376,                 1.8711,                 0.0062,                 0.0062,                 0.0062
                     63,                0.29309,                0.67529,                0.95859,                 1.8722,              0.0061367,              0.0061367,              0.0061367
                     64,                0.28663,                0.66776,                0.96235,                 1.8747,              0.0060733,              0.0060733,              0.0060733
                     65,                0.27103,                0.66776,                0.96282,                 1.8708,                0.00601,                0.00601,                0.00601
                     66,                0.25112,                0.66541,                0.96518,                 1.8707,              0.0059467,              0.0059467,              0.0059467
                     67,                0.23093,                0.65976,                0.96188,                 1.8718,              0.0058833,              0.0058833,              0.0058833
                     68,                0.20005,                0.65647,                0.96141,                 1.8742,                0.00582,                0.00582,                0.00582
                     69,                0.21371,                0.65365,                0.95812,                 1.8712,              0.0057567,              0.0057567,              0.0057567
                     70,                0.20291,                0.65976,                   0.96,                 1.8732,              0.0056933,              0.0056933,              0.0056933
                     71,                0.20439,                  0.656,                0.96141,                 1.8744,                0.00563,                0.00563,                0.00563
                     72,                0.19755,                0.64988,                0.95812,                 1.8745,              0.0055667,              0.0055667,              0.0055667
                     73,                0.17539,                  0.648,                   0.96,                 1.8748,              0.0055033,              0.0055033,              0.0055033
                     74,                0.16267,                0.64659,                0.96188,                 1.8764,                0.00544,                0.00544,                0.00544
                     75,                0.17683,                0.64424,                0.96047,                 1.8785,              0.0053767,              0.0053767,              0.0053767
                     76,                0.15807,                0.64282,                0.95859,                 1.8785,              0.0053133,              0.0053133,              0.0053133
                     77,                0.15081,                0.63718,                0.96047,                 1.8816,                0.00525,                0.00525,                0.00525
                     78,                0.14673,                0.63718,                0.95906,                 1.8802,              0.0051867,              0.0051867,              0.0051867
                     79,                0.14974,                0.63247,                0.95718,                 1.8843,              0.0051233,              0.0051233,              0.0051233
                     80,                0.13483,                0.63388,                0.95576,                 1.8823,                0.00506,                0.00506,                0.00506
                     81,                0.12866,                0.63153,                0.95765,                 1.8849,              0.0049967,              0.0049967,              0.0049967
                     82,                0.12646,                  0.632,                0.95671,                 1.8864,              0.0049333,              0.0049333,              0.0049333
                     83,                0.12986,                0.62918,                0.95671,                 1.8889,                0.00487,                0.00487,                0.00487
                     84,                0.12205,                0.62965,                0.95812,                 1.8891,              0.0048067,              0.0048067,              0.0048067
                     85,                0.11679,                0.62965,                0.95765,                 1.8867,              0.0047433,              0.0047433,              0.0047433
                     86,                0.12218,                0.63059,                0.95812,                 1.8889,                0.00468,                0.00468,                0.00468
                     87,                0.11905,                0.62824,                   0.96,                 1.8883,              0.0046167,              0.0046167,              0.0046167
                     88,                0.11644,                0.63153,                0.95859,                 1.8888,              0.0045533,              0.0045533,              0.0045533
                     89,                0.11723,                0.63059,                0.95812,                 1.8906,                0.00449,                0.00449,                0.00449
                     90,                0.11248,                0.62918,                0.95812,                 1.8901,              0.0044267,              0.0044267,              0.0044267
                     91,                0.11169,                  0.632,                0.95812,                 1.8896,              0.0043633,              0.0043633,              0.0043633
                     92,                0.10949,                0.63059,                0.95624,                 1.8918,                 0.0043,                 0.0043,                 0.0043
                     93,                0.11628,                0.63106,                0.95671,                  1.893,              0.0042367,              0.0042367,              0.0042367
                     94,                0.11321,                0.63247,                0.95718,                 1.8944,              0.0041733,              0.0041733,              0.0041733
                     95,                 0.1093,                0.63341,                0.95718,                 1.8925,                0.00411,                0.00411,                0.00411
                     96,                0.10586,                0.63247,                0.95718,                 1.8942,              0.0040467,              0.0040467,              0.0040467
                     97,                0.10616,                0.63153,                0.95671,                 1.8949,              0.0039833,              0.0039833,              0.0039833
                     98,                0.10566,                0.63153,                0.95765,                 1.8944,                0.00392,                0.00392,                0.00392
                     99,                0.10644,                0.63106,                0.95718,                 1.8944,              0.0038567,              0.0038567,              0.0038567
                    100,                0.10543,                0.63153,                0.95812,                 1.8966,              0.0037933,              0.0037933,              0.0037933
                    101,                0.10937,                0.63294,                0.95765,                 1.8964,                0.00373,                0.00373,                0.00373
                    102,                0.10797,                  0.632,                0.95765,                 1.8988,              0.0036667,              0.0036667,              0.0036667
