epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,4376.22,1.41866,0.57929,0.94871,2.04671,0.005125,0.005125,0.005125
77,4432.93,1.43956,0.58259,0.94918,2.04579,0.00506,0.00506,0.00506
78,4490.93,1.39329,0.58259,0.94965,2.04399,0.004995,0.004995,0.004995
79,4547.62,1.35246,0.58212,0.94824,2.04091,0.00493,0.00493,0.00493
80,4607.44,1.35478,0.58635,0.94635,2.04196,0.004865,0.004865,0.004865
81,4664.05,1.38024,0.58871,0.94918,2.04155,0.0048,0.0048,0.0048
82,4721.92,1.36096,0.58353,0.94824,2.03945,0.004735,0.004735,0.004735
83,4778.57,1.33956,0.58353,0.952,2.03802,0.00467,0.00467,0.00467
84,4834.76,1.3819,0.58729,0.952,2.03969,0.004605,0.004605,0.004605
85,4892.21,1.37363,0.59153,0.952,2.03559,0.00454,0.00454,0.00454
86,4948.97,1.31004,0.59106,0.952,2.03639,0.004475,0.004475,0.004475
87,5008.83,1.37191,0.59341,0.95012,2.03379,0.00441,0.00441,0.00441
88,5065.34,1.32518,0.592,0.95012,2.03373,0.004345,0.004345,0.004345
89,5122.27,1.36148,0.59059,0.95106,2.03416,0.00428,0.00428,0.00428
90,5178.75,1.34423,0.59247,0.95059,2.03352,0.004215,0.004215,0.004215
91,5235.43,1.28208,0.59012,0.95106,2.03359,0.00415,0.00415,0.00415
92,5293.3,1.33606,0.59153,0.95106,2.03253,0.004085,0.004085,0.004085
93,5349.82,1.32138,0.58918,0.95059,2.03153,0.00402,0.00402,0.00402
94,5409.83,1.3541,0.59059,0.95059,2.03088,0.003955,0.003955,0.003955
95,5466.41,1.36953,0.592,0.95153,2.02992,0.00389,0.00389,0.00389
96,5523.54,1.34713,0.59106,0.95247,2.02839,0.003825,0.003825,0.003825
97,5580.97,1.34208,0.59106,0.95294,2.02781,0.00376,0.00376,0.00376
98,5638.02,1.29574,0.59294,0.95247,2.02832,0.003695,0.003695,0.003695
99,5695.56,1.29942,0.59529,0.952,2.02559,0.00363,0.00363,0.00363
100,5752.1,1.29627,0.59435,0.952,2.02781,0.003565,0.003565,0.003565
101,5810.86,1.26948,0.59341,0.95341,2.02499,0.0035,0.0035,0.0035
102,5867.41,1.27076,0.59529,0.95482,2.02508,0.003435,0.003435,0.003435
103,5924.84,1.27587,0.59624,0.95576,2.02669,0.00337,0.00337,0.00337
104,5981.49,1.32033,0.59718,0.95624,2.02503,0.003305,0.003305,0.003305
105,6038.76,1.3031,0.59671,0.95624,2.02241,0.00324,0.00324,0.00324
106,6095.87,1.28245,0.59718,0.95576,2.02291,0.003175,0.003175,0.003175
107,6152.52,1.27678,0.59859,0.95671,2.02167,0.00311,0.00311,0.00311
108,6212.04,1.3313,0.6,0.95624,2.02239,0.003045,0.003045,0.003045
109,6268.48,1.27719,0.60047,0.95624,2.02247,0.00298,0.00298,0.00298
110,6327.3,1.29768,0.60047,0.95671,2.02115,0.002915,0.002915,0.002915
111,6385.58,1.24831,0.59906,0.95624,2.02138,0.00285,0.00285,0.00285
112,6442.87,1.26681,0.59906,0.95576,2.02039,0.002785,0.002785,0.002785
113,6500.6,1.25531,0.60188,0.95576,2.02073,0.00272,0.00272,0.00272
114,6558.09,1.28045,0.60047,0.95624,2.01903,0.002655,0.002655,0.002655
115,6617.52,1.22523,0.60047,0.95624,2.02135,0.00259,0.00259,0.00259
116,6675.07,1.25438,0.60094,0.95576,2.01899,0.002525,0.002525,0.002525
117,6734.87,1.20365,0.60188,0.95529,2.01726,0.00246,0.00246,0.00246
118,6792.13,1.23401,0.60188,0.95529,2.01765,0.002395,0.002395,0.002395
119,6850.21,1.22803,0.60282,0.95624,2.01628,0.00233,0.00233,0.00233
120,6907.64,1.18582,0.60282,0.95624,2.01732,0.002265,0.002265,0.002265
121,6965.39,1.20051,0.60235,0.95624,2.01721,0.0022,0.0022,0.0022
122,7023.68,1.21673,0.60188,0.95718,2.01573,0.002135,0.002135,0.002135
123,7081.55,1.23393,0.60235,0.95671,2.01617,0.00207,0.00207,0.00207
124,7141.46,1.19355,0.60282,0.95765,2.01489,0.002005,0.002005,0.002005
125,7199.49,1.21883,0.60188,0.95671,2.01494,0.00194,0.00194,0.00194
126,7258.04,1.17517,0.60188,0.95671,2.01468,0.001875,0.001875,0.001875
127,7315.49,1.12495,0.60235,0.95718,2.01423,0.00181,0.00181,0.00181
128,7373.54,1.17948,0.60376,0.95765,2.01331,0.001745,0.001745,0.001745
129,7431.61,1.22064,0.60329,0.95812,2.01248,0.00168,0.00168,0.00168
130,7488.68,1.20397,0.60282,0.95859,2.0127,0.001615,0.001615,0.001615
131,7549.36,1.16959,0.60282,0.95906,2.01241,0.00155,0.00155,0.00155
132,7606.5,1.17616,0.60235,0.95859,2.01024,0.001485,0.001485,0.001485
133,7664.59,1.19232,0.60235,0.95953,2.01127,0.00142,0.00142,0.00142
134,7721.67,1.16292,0.60282,0.95953,2.01283,0.001355,0.001355,0.001355
135,7778.51,1.11927,0.60235,0.95953,2.01361,0.00129,0.00129,0.00129
136,7835.44,1.14117,0.60141,0.95953,2.01138,0.001225,0.001225,0.001225
137,7891.55,1.14165,0.60141,0.95953,2.01198,0.00116,0.00116,0.00116
138,7951.08,1.17644,0.60329,0.95859,2.0114,0.001095,0.001095,0.001095
139,8007.38,1.12849,0.60424,0.95859,2.00864,0.00103,0.00103,0.00103
140,8065.28,1.1436,0.60424,0.95859,2.01139,0.000965,0.000965,0.000965
141,8125.62,1.14393,0.60565,0.95859,2.01029,0.0009,0.0009,0.0009
142,8182.86,1.13244,0.60706,0.95859,2.009,0.000835,0.000835,0.000835
143,8239.56,1.08315,0.60659,0.95859,2.00975,0.00077,0.00077,0.00077
144,8296.94,1.11048,0.60706,0.95906,2.00849,0.000705,0.000705,0.000705
145,8355.03,1.1259,0.60659,0.95859,2.00812,0.00064,0.00064,0.00064
146,8411.47,1.07335,0.60706,0.95765,2.00739,0.000575,0.000575,0.000575
147,8471.22,1.07551,0.60565,0.95859,2.00935,0.00051,0.00051,0.00051
148,8527.66,1.0461,0.60565,0.95859,2.00617,0.000445,0.000445,0.000445
149,8585.32,1.06735,0.60565,0.95906,2.00627,0.00038,0.00038,0.00038
150,8642.13,1.07358,0.60471,0.95906,2.00575,0.000315,0.000315,0.000315
